ORIGIN_CITY,ORIGIN_CITY_ENCODED
"Hilton Head, SC",151
"Pellston, MI",261
"Hibbing, MN",149
"Gunnison, CO",138
"Ithaca/Cortland, NY",162
"Nome, AK",244
"Saginaw/Bay City/Midland, MI",296
"Lynchburg, VA",205
"Rhinelander, WI",286
"Walla Walla, WA",353
"Dillingham, AK",94
"Alamosa, CO",5
"Mammoth Lakes, CA",207
"Williston, ND",365
"Saipan, TT",297
"Martha's Vineyard, MA",211
"Erie, PA",105
"Greenville, NC",134
"Hagerstown, MD",140
"Watertown, SD",357
"Santa Maria, CA",311
"New Haven, CT",237
"Cape Girardeau, MO",53
"Branson, MO",44
"Dickinson, ND",93
"King Salmon, AK",179
"Riverton/Lander, WY",288
"Florence, SC",116
"Guam, TT",136
"Eau Claire, WI",101
"Fort Leonard Wood, MO",119
"Ashland, WV",17
"Portsmouth, NH",274
"Elko, NV",103
"Pullman, WA",279
"Fort Dodge, IA",117
"Cold Bay, AK",71
"West Yellowstone, MT",360
"North Bend/Coos Bay, OR",246
"Victoria, TX",351
"Pago Pago, TT",257
"Ogdensburg, NY",250
"Watertown, NY",356
"Wilmington, DE",366
"Owensboro, KY",255
"Ogden, UT",249
"St. Cloud, MN",328
"Quincy, IL",281
"Gustavus, AK",139
"Adak Island, AK",2
